sense_uid,lemma,pos,quiz_prompt_zh,gloss_zh,ipa_us,ipa_uk,example_en,example_zh
en:ability:noun:1,ability,noun,能力，能耐；才能,n 能力，能耐；才能,/ə'bɪləti/,/ə'bɪlɪtɪ/,The test measures your mathematical ability.,这种测试考查的是数学能力。
en:able:adjective:1,able,adjective,能；[经管] 有能力的；能干的,adj 能；[经管] 有能力的；能干的；n (Able)人名；(伊朗)阿布勒；(英)埃布尔,/'ebl/,/'eɪb(ə)l/,one of my more able students,我班上能力比较强的学生之一
en:about:preposition:1,about,preposition,关于；大约,prep 关于；大约；adj 在附近的；四处走动的；在起作用的；adv 大约；周围；到处；n 大致；粗枝大叶；不拘小节的人,/ə'baʊt/,/ə'baʊt/,a book about politics,一本有关政治的书
en:above:preposition:1,above,preposition,超过；在……上面；在……之上,prep 超过；在……上面；在……之上；adv 在上面；在上文；adj 上文的；n 上文,/ə'bʌv/,/ə'bʌv/,Our office is above the hairdresser’s.,我们的办公室在理发店上面。
en:abroad:adverb:1,abroad,adverb,在国外；到海外,adv 在国外；到海外；adj 往国外的；n 海外；异国,/ə'brɔd/,/ə'brɔːd/,I’ve never lived abroad before.,我以前从未在国外生活过。
en:absent:adjective:1,absent,adjective,缺席的；缺少的；心不在焉的；茫然的,adj 缺席的；缺少的；心不在焉的；茫然的；v 使缺席,/ˈæbsənt/,/'æbs(ə)nt/,"The dull, absent look on her face implied boredom.",她脸上呆滞、茫然的神情说明她觉得无聊了。
en:accent:noun:1,accent,noun,口音；重音；强调；特点；重音符号,n 口音；重音；强调；特点；重音符号；v 强调；重读；带…口音讲话,/'æksɛnt/,/'æks(ə)nt; -sent/,He had a strong Irish accent,他有浓重的爱尔兰口音。
en:accept:verb:1,accept,verb,接受；承认；承担；承兑；容纳,v 接受；承认；承担；承兑；容纳,/ækˈsɛpt; əkˈsɛpt/,/ə'ksept/,Rick accepted her offer of coffee.,她请里克喝咖啡，他接受了。
en:accident:noun:1,accident,noun,事故；意外；[法] 意外事件；机遇,n 事故；意外；[法] 意外事件；机遇,/'æksədənt/,/'æksɪdənt/,I met her quite by accident (= completely by accident ) .,我遇见她完全是偶然。
en:ache:verb:1,ache,verb,疼痛；渴望,v 疼痛；渴望；n 疼痛,/ek/,/eɪk/,His feet were aching from standing so long.,他站了那么久，双脚隐隐作痛。
en:achieve:verb:1,achieve,verb,取得；获得；实现；成功,v 取得；获得；实现；成功,/ə'tʃiv/,/ə'tʃiːv/,Frances achieved very good exam results.,弗朗西丝考试取得了优异成绩。
en:across:preposition:1,across,preposition,穿过；横穿,prep 穿过；横穿；adv 横过；在对面,/ə'krɔs/,/ə'krɒs/,We can gain some time if we cut across this field.,我们如果抄近路穿过这片田野可以省下一些时间。
en:act:verb:1,act,verb,扮演；装作，举动像,v 扮演；装作，举动像；n 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势,/ækt/,/ækt/,I first started acting when I was 12 years old.,我12岁开始演戏。
en:action:noun:1,action,noun,行动；活动；功能；战斗；情节,n 行动；活动；功能；战斗；情节,/'ækʃən/,/'ækʃ(ə)n/,The government must take action (= do something ) now to stop the rise in violent crime.,政府现在必须采取行动遏止暴力犯罪的上升。
en:active:adjective:1,active,adjective,积极的；活跃的；主动的；有效的；现役的,adj 积极的；活跃的；主动的；有效的；现役的；n 主动语态；积极分子,/'æktɪv/,/'æktɪv/,games for active youngsters,活跃好动的年轻人玩的游戏
en:activity:noun:1,activity,noun,活动；行动；活跃,n 活动；行动；活跃,/æk'tɪviti/,/æk'tɪvɪtɪ/,Everyone is free to engage in peaceful political activity.,每个人都可以自由参加和平的政治活动。
en:add:verb:1,add,verb,加；增加；加起来；做加法,v 加；增加；加起来；做加法；n 加法，加法运算,/æd/,/æd/,"If the mixture seems dry, add water.",如果混合物看上去干，加点水。
en:address:verb:1,address,verb,演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理,v 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理；n 地址；演讲；致辞；说话的技巧；称呼,/ə'drɛs/,/ə'dres/,"Send a stamped, self-addressed envelope (= with your address on it so it can be sent back to you ) .",寄上一个贴好邮票的、写有回邮地址的信封。
en:advertisement:noun:1,advertisement,noun,广告，宣传,n 广告，宣传,"/,ædvɚ'taɪzmənt/",/əd'vɜːtɪzm(ə)nt; -tɪs-/,"They put an advertisement in ‘The Morning News’, offering a high salary for the right person.",他们在《晨报》上刊登了一则启事，出高薪寻找合适的人选。
en:advice:noun:1,advice,noun,建议；忠告；劝告；通知,n 建议；忠告；劝告；通知,/ædˈvaɪs; əd'vaɪs/,/əd'vaɪs/,You should have followed my advice.,你真该听我的建议。
en:advise:verb:1,advise,verb,建议；劝告，忠告；通知；警告,v 建议；劝告，忠告；通知；警告,/əd'vaɪz/,/əd'vaɪz/,She needed someone to advise her.,她需要有个人给她出主意。
en:afford:verb:1,afford,verb,给予，提供；买得起,v 给予，提供；买得起；n (Afford)人名；(英)阿福德,/ə'fɔrd/,/ə'fɔːd/,The room affords a beautiful view over the city.,这房间可以俯瞰城市美景。
en:afraid:adjective:1,afraid,adjective,害怕的；恐怕；担心的,adj 害怕的；恐怕；担心的,/ə'fred/,/ə'freɪd/,There’s no need to be afraid.,没有必要害怕。
en:after:adverb:1,after,adverb,后来，以后,adv 后来，以后；prep 在……之后；conj 在……之后；adj 以后的,/'æftɚ/,/'ɑːftə/,Tomorrow. Or the day after.,明天。或者后天。
en:afternoon:noun:1,afternoon,noun,午后，下午,n 午后，下午,"/,æftɚ'nun/",/ɑːftə'nuːn/,There’s a meeting on Thursday afternoon .,星期四下午有个会议。
en:again:adverb:1,again,adverb,又，此外；再一次；再说；增加,adv 又，此外；再一次；再说；增加；n （英、保）阿盖恩,/ə'ɡɛn/,/ə'gen; ə'geɪn/,Can you say that again? I didn’t hear.,你能再说一遍吗？ 我没听见。
en:against:preposition:1,against,preposition,反对，违反；靠；倚；防备,prep 反对，违反；靠；倚；防备；adj 不利的；对立的,/ə'ɡɛnst/,/ə'genst; ə'geɪnst/,There was a ladder propped up against the wall.,有一把梯子靠在墙边。
en:age:noun:1,age,noun,年龄；时代；寿命，使用年限；阶段,n 年龄；时代；寿命，使用年限；阶段；v 成熟；变老,/edʒ/,/eɪdʒ/,Francis is the same age as me.,弗朗西斯和我同年岁。
en:ago:adverb:1,ago,adverb,以前，以往,adv 以前，以往；adj 以前的；过去的；n (Ago)人名；(英、西、意、塞、瑞典)阿戈,/ə'ɡo/,/ə'gəʊ/,They moved to a new house some time ago (= a fairly long time ago ) .,他们搬进新居已有些日子了。
en:agree:verb:1,agree,verb,同意，赞成；承认；约定，商定,v 同意，赞成；承认；约定，商定,/ə'ɡri/,/ə'griː/,Teenagers and their parents rarely agree.,十几岁的孩子跟父母意见很少一致。
en:agreement:noun:1,agreement,noun,协议；同意，一致,n 协议；同意，一致,/ə'grimənt/,/ə'griːm(ə)nt/,It is easier for two parties to reach agreement than for three.,两方达成一致比三方达成一致容易。
en:air:noun:1,air,noun,空气，大气；天空；样子；曲调,n 空气，大气；天空；样子；曲调；v 使通风，晾干；夸耀,/ɛr/,/eə/,Let’s go outside and get some fresh air.,我们出去呼吸些新鲜空气吧。
en:airline:noun:1,airline,noun,航空公司；航线,n 航空公司；航线；adj 航线的,/'ɛrlaɪn/,/'eəlaɪn/,an airline pilot,航空公司飞行员
en:airplane:noun:1,airplane,noun,飞机,n 飞机,/ˈerpleɪn/,/'eəpleɪn/,The airplane cracked up in landing.,这架飞机在着陆时坠毁。
en:airport:noun:1,airport,noun,机场；航空站,n 机场；航空站,/'ɛr'pɔrt/,/'eəpɔːt/,The plane landed at Heathrow Airport.,飞机降落在希思罗机场。
en:alive:adjective:1,alive,adjective,活着的；活泼的；有生气的,adj 活着的；活泼的；有生气的,/ə'laɪv/,/ə'laɪv/,It was a bad accident – they’re lucky to be alive.,这是一宗严重事故——他们能活着实属幸运。
en:all:adjective:1,all,adjective,全部的,adj 全部的；adv 全然地；越发；n 全部；pron 全部,/ɔl/,/ɔːl/,"You shouldn’t be sitting here by yourself, all alone.",你不应该一个人孤零零地坐在这儿。
en:allow:verb:1,allow,verb,允许；给予；认可,v 允许；给予；认可,/ə'laʊ/,/ə'laʊ/,We don’t allow diving in the pool.,泳池内禁止跳水。
en:almost:adverb:1,almost,adverb,差不多，几乎,adv 差不多，几乎,/'ɔlmost/,/'ɔːlməʊst/,Have you almost finished?,你差不多完成了吗？
en:alone:adjective:1,alone,adjective,独自的；单独的；孤独的,adj 独自的；单独的；孤独的；adv 独自地；单独地,/ə'lon/,/ə'ləʊn/,She lives alone .,她一个人生活。
en:along:adverb:1,along,adverb,一起；向前；来到,adv 一起；向前；来到；prep 沿着；顺着,/ə'lɔŋ/,/ə'lɒŋ/,"I was driving along, thinking about Chris.",我一边开车，一边想着克里斯。
